identifier;description;construction_identifier;adjacent_A;adjacent_B;window_identifier;area;vertices;
B0096;EP Surface Names:DE2C7B,DE1DA8;C0004;Z0019;Z0003;NaN;6.834;(158.4505075,11.16295874,9.81),(158.4505075,11.16295874,6.41),(158.4505075,9.152958743,6.41),(158.4505075,9.152958743,9.81);
B0097;EP Surface Names:02b_Ceiling;C0009;ADB;Z0018;NaN;33.32393063;(154.234396,19.06690778,9.81),(154.234396,11.16295874,9.81),(158.4505075,11.16295874,9.81),(158.4505075,19.06690778,9.81);
B0098;EP Surface Names:9F1C62;C0001;AMB;Z0018;W0010;26.87342673;(154.234396,19.06690778,9.81),(154.234396,19.06690778,6.41),(154.234396,11.16295874,6.41),(154.234396,11.16295874,9.81);
B0099;EP Surface Names:EBEDE6,358314;NMC0001;Z0019;Z0018;NaN;14.33477918;(154.234396,11.16295874,9.81),(154.234396,11.16295874,6.41),(158.4505075,11.16295874,6.41),(158.4505075,11.16295874,9.81);
B0100;EP Surface Names:02b_Floor;C0002;ADB;Z0018;NaN;33.32393063;(158.4505075,19.06690778,6.41),(158.4505075,11.16295874,6.41),(154.234396,11.16295874,6.41),(154.234396,19.06690778,6.41);
B0101;EP Surface Names:02c_Ceiling;C0009;ADB;Z0019;NaN;8.474384164;(154.234396,11.16295874,9.81),(154.234396,9.152958743,9.81),(158.4505075,9.152958743,9.81),(158.4505075,11.16295874,9.81);
B0102;EP Surface Names:5CACC6,E8C2A8;NMC0001;Z0020;Z0019;NaN;14.33477918;(154.234396,9.152958743,9.81),(154.234396,9.152958743,6.41),(158.4505075,9.152958743,6.41),(158.4505075,9.152958743,9.81);
B0103;EP Surface Names:02c_Floor;C0002;ADB;Z0019;NaN;8.474384164;(158.4505075,11.16295874,6.41),(158.4505075,9.152958743,6.41),(154.234396,9.152958743,6.41),(154.234396,11.16295874,6.41);
B0104;EP Surface Names:A022A6;C0001;AMB;Z0019;W0011;6.834;(154.234396,11.16295874,9.81),(154.234396,11.16295874,6.41),(154.234396,9.152958743,6.41),(154.234396,9.152958743,9.81);
B0105;EP Surface Names:02d_Floor;C0002;ADB;Z0020;NaN;25.57936348;(158.4505075,9.152958743,6.41),(158.4505075,3.085907781,6.41),(154.234396,3.085907781,6.41),(154.234396,9.152958743,6.41);
B0106;EP Surface Names:02d_Ceiling;C0009;ADB;Z0020;NaN;25.57936348;(154.234396,9.152958743,9.81),(154.234396,3.085907781,9.81),(158.4505075,3.085907781,9.81),(158.4505075,9.152958743,9.81);
B0107;EP Surface Names:8093EB;C0001;AMB;Z0020;W0008;20.62797327;(154.234396,9.152958743,9.81),(154.234396,9.152958743,6.41),(154.234396,3.085907781,6.41),(154.234396,3.085907781,9.81);
B0108;01_NW_InternalMass;C0006;Z0001;Z0001;NaN;0.51;NaN;
B0109;02a_N_InternalMass;C0006;Z0002;Z0002;NaN;0.13;NaN;
B0110;02b_N_InternalMass;C0006;Z0018;Z0018;NaN;0.385;NaN;
B0111;02c_N_InternalMass;C0006;Z0019;Z0019;NaN;0.13;NaN;
B0112;02d_N_InternalMass;C0006;Z0020;Z0020;NaN;0.385;NaN;
B0113;03_NE_InternalMass;C0006;Z0010;Z0010;NaN;0.51;NaN;
B0114;04a_E_InternalMass;C0006;Z0011;Z0011;NaN;1.15;NaN;
B0115;04b_E_InternalMass;C0006;Z0015;Z0015;NaN;0.385;NaN;
B0116;05_SE_InternalMass;C0006;Z0012;Z0012;NaN;0.51;NaN;
B0117;06_S_InternalMass;C0006;Z0013;Z0013;NaN;0.51;NaN;
B0118;07_SW_InternalMass;C0006;Z0014;Z0014;NaN;3.57;NaN;
B0119;08a_W_InternalMass;C0006;Z0008;Z0008;NaN;0.765;NaN;
B0120;08b_W_InternalMass;C0006;Z0016;Z0016;NaN;0.255;NaN;
B0121;09a_L_InternalMass;C0006;Z0009;Z0009;NaN;0.385;NaN;
B0122;09b_L_InternalMass;C0006;Z0017;Z0017;NaN;0.13;NaN;
B0123;12_CF_InternalMass;C0006;Z0005;Z0005;NaN;25.5;NaN;
B0124;14_ST_InternalMass;C0006;Z0007;Z0007;NaN;15.81;NaN;
