facade_solar_group,buildingelement_identifier,disturbance_identifier,absorptance,
,B0001,solar_ZALL,0.2,
,B0002,solar_ZALL,0.4,
,B0005,solar_ZALL,0.4,
,B0007,solar_ZALL,0.6,
,B0008,solar_ZALL,0.4,
,B0009,solar_ZALL,0.4,
,B0010,solar_ZALL,0.6,
,B0016,solar_ZALL,0.2,
,B0019,solar_ZALL,0.4,
,B0020,solar_ZALL,0.2,
,B0021,solar_ZALL,0.4,
,B0024,solar_ZALL,0.4,
,B0025,solar_ZALL,0.6,
,B0027,solar_ZALL,0.6,
,B0028,solar_ZALL,0.4,
,B0029,solar_ZALL,0.8,
,B0030,solar_ZALL,0.8,
,B0031,solar_ZALL,0.8,
,B0032,solar_ZALL,0.8,
,,,,
,,,,
window_solar_group,buildingelement_identifier,disturbance_identifier,control_identifier,secondary_gains_fraction
,,,,
,,,,
,,,,
infiltration_specification,zone_identifier,airchangerate,,
