facade_solar_group;buildingelement_identifier;disturbance_identifier;absorptance;NaN;
NaN;B0057;N;0.6;NaN;
NaN;B0010;N;0.6;NaN;
NaN;B0098;N;0.6;NaN;
NaN;B0104;N;0.6;NaN;
NaN;B0107;N;0.6;NaN;
NaN;B0008;N;0.6;NaN;
NaN;B0071;E;0.6;NaN;
NaN;B0065;E;0.6;NaN;
NaN;B0086;E;0.6;NaN;
NaN;B0059;S;0.6;NaN;
NaN;B0079;S;0.6;NaN;
NaN;B0076;S;0.6;NaN;
NaN;B0073;S;0.6;NaN;
NaN;B0055;S;0.6;NaN;
NaN;B0005;W;0.6;NaN;
NaN;B0089;W;0.6;NaN;
NaN;B0049;W;0.6;NaN;
NaN;B0053;W;0.6;NaN;
NaN;B0041;W;0.6;NaN;
NaN;B0081;W;0.6;NaN;
NaN;NaN;NaN;NaN;NaN;
NaN;NaN;NaN;NaN;NaN;
NaN;NaN;NaN;NaN;NaN;
NaN;NaN;NaN;NaN;NaN;
NaN;NaN;NaN;NaN;NaN;
NaN;NaN;NaN;NaN;NaN;
NaN;NaN;NaN;NaN;NaN;
NaN;NaN;NaN;NaN;NaN;
NaN;NaN;NaN;NaN;NaN;
window_solar_group;buildingelement_identifier;disturbance_identifier;control_identifier;secondary_gains_fraction;
NaN;B0057;N;N;0.1;
NaN;B0010;N;N;0.1;
NaN;B0098;N;N;0.1;
NaN;B0104;N;N;0.1;
NaN;B0107;N;N;0.1;
NaN;B0008;N;N;0.1;
NaN;B0071;E;E;0.1;
NaN;B0065;E;E;0.1;
NaN;B0086;E;E;0.1;
NaN;B0059;E;E;0.1;
NaN;B0079;S;S;0.1;
NaN;B0076;S;S;0.1;
NaN;B0073;S;S;0.1;
NaN;B0055;S;L;0.1;
NaN;B0005;W2;W;0.1;
NaN;B0089;W2;W;0.1;
NaN;B0049;W2;W;0.1;
NaN;B0053;W2;W;0.1;
NaN;B0041;W;W;0.1;
NaN;B0081;W;W;0.1;
NaN;NaN;NaN;NaN;NaN;
NaN;NaN;NaN;NaN;NaN;
infiltration_specification;zone_identifier;airchangerate;NaN;NaN;
